Designator,Footprint,Quantity,Value,LCSC Part #
 ,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
"C1, C2",0805,2,22u,
"C10, C9",0402,2,1u,
"C11, C3",0603,2,10u,
"C12, C13",0402,2,10p,
"C4, C5, C6, C7",0402,4,100n,
C8,0402,1,10n,
D1,0603,1,RED,
FB1,0603,1,120R,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
J2,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J3,PinHeader_1x20_P2.54mm_Vertical,1,Pinout 1,
J4,PinHeader_1x20_P2.54mm_Vertical,1,Pinout 2,
"R1, R3",0402,2,1k5,
R2,0402,1,10k,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
