Designator,Mid X,Mid Y,Rotation,Layer
 ,131.65,-101.835,0.0,top
C1,187.0,-104.95,270.0,top
C10,155.205,-108.85,180.0,top
C11,150.0,-108.025,270.0,top
C12,155.15,-101.213113,90.0,top
C13,155.15,-103.1975,90.0,top
C2,174.2,-106.7,90.0,top
C3,169.64,-108.3,90.0,top
C4,157.228935,-99.246355,90.0,top
C5,166.16,-108.59,180.0,top
C6,169.2,-99.65,270.0,top
C7,160.24,-96.6,0.0,top
C8,156.15,-104.61,45.0,top
C9,155.205,-107.25,180.0,top
D1_2,135.3,-109.3375,270.0,top
D1,187.8,-109.85,180.0,top
FB1,157.105,-108.0375,90.0,top
J1,143.0,-102.2,180.0,top
J2,191.630321,-101.247144,90.0,top
J3,161.655,-92.0,270.0,top
J4,161.655,-114.08,90.0,top
R1,188.0,-108.45,180.0,top
R2,152.45,-97.48,180.0,top
R3,183.58,-100.65,270.0,top
R4,137.35,-107.5,180.0,top
U1,180.4,-108.0,180.0,top
U2,163.05,-102.5375,270.0,top
Y1,152.539,-101.7955,270.0,top
